1,5460,10320.70975,06-03-2014,bank transfer
2,842,17039.24773,26-03-2014,debit card
3,9404,9737.195929,23-06-2014,personal cjeck
4,6530,37899.38187,21-06-2014,lbc
5,9875,35575.82202,21-07-2014,bitcoin
6,5726,40627.56662,14-05-2014,bank transfer
7,4168,27268.5364,12-07-2014,manager's check
8,5405,2603.003927,22-06-2014,personal cjeck
9,7425,7206.543004,24-04-2014,none
10,8685,22375.72027,01-12-2014,manager's check
11,6137,20725.6107,14-07-2014,none
12,1928,25080.32666,21-01-2014,lbc
13,6467,4283.777764,15-07-2014,paypal
14,9077,3893.275538,04-06-2014,debit card
15,7209,54832.68035,25-09-2014,manager's check
16,6599,12478.82717,31-08-2014,manager's check
17,1509,4477.913365,09-12-2014,manager's check
18,2269,38841.00469,07-12-2014,credit card
19,5222,15619.78228,05-03-2014,bitcoin
20,9628,5835.903695,01-05-2014,personal cjeck
21,703,16325.6344,03-11-2014,manager's check
22,3826,15288.55393,02-01-2014,credit card
23,4578,24987.02253,31-05-2014,none
24,2780,19575.54816,16-10-2014,debit card
25,6663,68911.78654,25-02-2014,none
26,2342,11935.71645,16-01-2014,debit card
27,6195,20764.63004,12-02-2014,lbc
28,1853,13055.10369,10-12-2014,cash
29,1445,35941.44278,24-09-2014,manager's check
30,3558,63232.00914,21-10-2014,bitcoin
31,7251,8798.496272,21-11-2014,none
32,6152,6511.36696,13-07-2014,manager's check
33,7145,27780.29305,19-04-2014,manager's check
34,237,17145.27624,30-05-2014,none
35,8245,62703.8718,20-12-2014,debit card
36,1690,32235.56125,06-01-2014,lbc
37,2180,13902.15312,16-04-2014,bank transfer
38,7394,3965.614541,06-12-2014,lbc
39,9750,24236.3986,28-04-2014,bank transfer
40,1673,24679.8968,29-08-2014,bank transfer
41,7488,84.50800173,23-06-2014,debit card
42,9353,47251.55268,09-08-2014,lbc
43,7547,10138.1255,05-10-2014,personal cjeck
44,1648,18870.41463,27-12-2014,lbc
45,7903,40309.67919,14-08-2014,bank transfer
46,7532,38536.60534,21-01-2014,lbc
47,2022,3827.871713,12-04-2014,lbc
48,5444,18232.73174,10-08-2014,credit card
49,2862,11540.3225,13-10-2014,cash
50,8414,7247.32708,22-07-2014,debit card
51,7756,65718.8654,06-09-2014,cash
52,401,8910.305918,01-05-2014,credit card
53,3144,10694.6065,22-02-2014,paypal
54,2280,27801.90662,10-12-2014,none
55,51,341.3719002,16-12-2014,lbc
56,86,22255.87723,18-04-2014,none
57,3557,6921.027023,17-11-2014,credit card
58,3342,2203.577919,30-04-2014,paypal
59,3155,8105.4395,07-08-2014,personal cjeck
60,5378,45233.81837,23-08-2014,bitcoin
61,5400,404.8355787,28-12-2014,bitcoin
62,3478,70499.1328,05-03-2014,cash
63,7434,12049.6155,31-05-2014,personal cjeck
64,7300,21913.99938,05-11-2014,manager's check
65,984,8600.190915,07-03-2014,paypal
66,214,22724.75695,13-02-2014,paypal
67,9423,4004.260614,24-04-2014,credit card
68,5152,39758.94402,21-01-2014,none
69,326,51109.81753,05-04-2014,paypal
70,1936,6261.244645,19-01-2014,credit card
71,4493,8747.896442,25-11-2014,bank transfer
72,9263,61266.90982,22-10-2014,manager's check
73,5780,2606.759025,20-04-2014,credit card
74,3921,3590.172428,03-10-2014,paypal
75,3362,195.7426173,11-07-2014,personal cjeck
76,5563,89619.70743,19-02-2014,cash
77,2144,98271.38529,24-12-2014,debit card
78,8509,742.1714448,17-09-2014,manager's check
79,5262,26881.81281,30-06-2014,none
80,5264,2595.743881,04-11-2014,bank transfer
81,1322,66255.91267,17-05-2014,personal cjeck
82,9231,16991.66129,28-09-2014,bitcoin
83,6700,54471.03653,28-01-2014,bank transfer
84,4211,38383.60082,24-06-2014,bank transfer
85,6378,25389.37488,13-02-2014,none
86,6493,32999.44431,10-07-2014,credit card
87,7519,15214.53431,23-08-2014,bitcoin
88,6976,31680.66671,28-09-2014,cash
89,4958,4562.513927,03-05-2014,bank transfer
90,1991,11461.77922,15-11-2014,manager's check
91,2378,8005.634915,27-08-2014,manager's check
92,8060,9794.346026,12-12-2014,none
93,8531,16711.22652,29-10-2014,bitcoin
94,5762,5331.665927,25-01-2014,credit card
95,137,68193.01275,28-12-2014,personal cjeck
96,9748,30426.76101,20-10-2014,paypal
97,1912,63424.23804,29-03-2014,bank transfer
98,9686,75930.70937,11-09-2014,none
99,5311,12909.4005,05-05-2014,credit card
100,3205,41549.22987,22-09-2014,manager's check
101,1007,42604.28511,27-12-2014,personal cjeck
102,9634,923.2826469,23-01-2014,cash
103,6297,5247.462216,04-08-2014,lbc
104,5347,19555.89392,12-11-2014,manager's check
105,5969,3233.288544,23-04-2014,personal cjeck
106,3471,46507.16957,14-08-2014,cash
107,6290,21798.19657,28-07-2014,paypal
108,7968,10410.63499,30-09-2014,manager's check
109,789,38115.69972,22-10-2014,personal cjeck
110,4908,155.178084,11-06-2014,credit card
111,1676,35461.57214,12-01-2014,credit card
112,7289,4033.451154,17-03-2014,cash
113,9620,3323.374163,26-05-2014,paypal
114,3422,65141.9698,29-08-2014,paypal
115,6333,1828.549,03-12-2014,debit card
116,1796,5152.599464,12-12-2014,personal cjeck
117,2184,39854.6425,10-01-2014,bank transfer
118,8163,9877.213212,16-10-2014,bank transfer
119,8819,6867.924119,22-04-2014,personal cjeck
120,6950,22578.46654,09-01-2014,bank transfer
121,5510,12880.56394,05-08-2014,none
122,8147,15873.05837,30-11-2014,credit card
123,4586,8223.156072,23-02-2014,cash
124,7154,11330.38859,11-02-2014,bank transfer
125,6681,26936.87352,31-12-2014,debit card
126,9975,8250.304618,11-11-2014,personal cjeck
127,3549,31821.47694,15-03-2014,none
128,95,63008.49299,05-10-2014,manager's check
129,2308,3701.780301,15-05-2014,paypal
130,7145,75795.60468,22-01-2014,bank transfer
131,6393,14226.18235,09-08-2014,cash
132,2791,13970.50893,29-11-2014,bank transfer
133,2897,5763.514734,30-01-2014,bitcoin
134,3687,12436.00257,25-06-2014,none
135,607,39069.92227,09-12-2014,bitcoin
136,2749,26575.15291,29-11-2014,personal cjeck
137,6776,3304.293911,04-07-2014,personal cjeck
138,983,44396.1889,05-02-2014,lbc
139,4732,72740.69286,11-11-2014,bank transfer
140,9019,1901.620137,25-02-2014,none
141,3562,36852.08539,04-09-2014,credit card
142,8319,2683.503468,26-11-2014,bank transfer
143,9672,6682.652483,16-03-2014,bank transfer
144,9736,23238.17906,11-04-2014,personal cjeck
145,3344,473.0331475,22-08-2014,cash
146,3601,59206.385,27-02-2014,credit card
147,5422,233.082282,10-07-2014,credit card
148,8186,21519.04056,06-07-2014,debit card
149,1547,29381.61776,15-11-2014,bank transfer
150,3599,80807.9845,25-12-2014,manager's check
151,1703,8986.094103,03-11-2014,lbc
152,4097,31130.67479,05-01-2014,bitcoin
153,7262,29462.79028,19-11-2014,credit card
154,87,1316.717424,13-02-2014,cash
155,2689,2604.53371,02-12-2014,none
156,7814,4453.625487,09-06-2014,cash
157,876,28037.32593,09-07-2014,manager's check
158,7959,1002.602453,27-10-2014,credit card
159,2773,6844.920937,06-03-2014,manager's check
160,2579,30983.50428,14-05-2014,cash
161,2811,31928.2214,15-06-2014,debit card
162,858,40349.01981,25-04-2014,cash
163,3117,25909.59174,31-03-2014,cash
164,1706,37089.8556,10-06-2014,paypal
165,7542,20675.76113,06-09-2014,cash
166,514,25254.29986,28-06-2014,manager's check
167,6994,2371.948365,28-09-2014,credit card
168,9925,4253.280983,22-07-2014,lbc
169,5459,6341.024728,09-03-2014,personal cjeck
170,5770,32737.99845,06-05-2014,paypal
171,1087,16960.48932,15-08-2014,bank transfer
172,4950,84121.91711,29-11-2014,manager's check
173,946,65013.12154,23-06-2014,paypal
174,2306,84266.70681,13-09-2014,debit card
175,7254,69862.41223,05-12-2014,paypal
176,6300,82455.43795,06-06-2014,lbc
177,9883,16598.2691,22-11-2014,lbc
178,8286,41982.77418,19-12-2014,manager's check
179,3181,33201.97813,27-08-2014,paypal
180,4780,12849.20495,03-09-2014,bitcoin
181,2799,18031.77229,07-12-2014,bank transfer
182,1892,19136.96624,04-12-2014,lbc
183,9024,26538.8538,18-06-2014,none
184,6988,18677.82486,23-06-2014,manager's check
185,9884,20574.65337,05-01-2014,paypal
186,9360,46698.37856,24-08-2014,credit card
187,5357,7759.167603,16-12-2014,paypal
188,8516,4066.932991,04-06-2014,personal cjeck
189,7555,86085.51048,04-03-2014,none
190,249,45013.12282,05-02-2014,lbc
191,4237,18185.01978,03-01-2014,personal cjeck
192,7572,14589.84524,11-04-2014,cash
193,920,38926.08426,04-11-2014,credit card
194,2395,570.2250932,11-06-2014,lbc
195,7232,41715.3658,06-11-2014,manager's check
196,6121,61639.1635,13-07-2014,none
197,2946,19861.00841,09-04-2014,none
198,6796,941.2438661,05-03-2014,manager's check
